student_id,name,class,comprehension,attention,focus,retention,engagement_time,assessment_score
S1155,Suresh,8,88.7,100.0,87.4,100.0,262.1,75.5
S1156,Shruti,10,83.7,63.1,83.8,72.7,266.8,61.3
S1157,Ishita,12,74.6,97.1,70.7,86.1,132.0,67.1
S1158,Manish,11,69.8,35.6,75.3,65.6,158.6,54.6
S1159,Aadhya,8,81.1,54.7,56.2,65.2,159.1,39.6
S1160,Kartik,6,66.1,79.4,35.6,70.9,187.5,40.2
S1161,Ritika,10,46.7,68.2,62.4,54.6,268.5,44.3
S1162,Vihaan,7,69.9,74.6,79.7,71.6,246.7,59.6
S1163,Aarav,12,75.6,42.4,73.1,44.2,253.8,53.4
S1164,Aditya,12,85.7,89.8,76.7,87.1,341.9,69.4
S1165,Ishita,11,49.8,79.0,51.4,51.0,282.0,49.3
S1166,Rahul,12,68.3,72.2,54.7,62.8,207.2,58.3
S1167,Saanvi,8,68.9,52.7,69.7,58.1,113.5,46.0
S1168,Saanvi,6,54.6,70.8,49.1,55.9,155.7,57.1
S1169,Sneha,12,76.8,59.8,49.7,67.6,196.4,61.3
S1170,Siddharth,12,80.5,35.3,66.0,63.4,294.6,62.6
S1171,Manish,7,65.9,64.1,75.2,72.0,217.5,58.2
S1172,Kavya,7,98.8,62.2,56.0,84.7,160.9,89.5
S1173,Ritika,9,65.5,84.1,36.7,61.7,154.0,61.6
S1174,Neha,10,63.7,24.8,45.3,44.6,213.7,40.0
S1175,Manish,8,63.3,69.2,64.1,71.0,300.1,65.1
S1176,Vikas,12,58.6,44.2,63.8,61.8,363.2,38.5
S1177,Gopal,12,62.2,70.7,64.8,69.9,201.5,57.3
S1178,Meera,6,49.9,71.7,70.4,55.9,216.0,50.9
S1179,Rekha,9,67.3,63.4,60.1,66.9,110.7,56.1
S1180,Aryan,10,70.8,79.5,65.3,72.7,394.5,62.3
S1181,Anjali,9,38.0,42.6,59.1,51.0,93.9,27.8
S1182,Rahul,11,68.6,84.9,83.0,73.6,325.4,57.7
S1183,Meera,10,70.6,52.3,88.6,59.6,187.1,54.9
S1184,Diya,12,77.2,37.0,36.2,59.0,166.1,45.0
S1185,Lakshmi,12,86.9,60.1,54.9,55.5,120.1,73.8
S1186,Meera,10,81.9,27.3,60.7,55.8,436.9,37.0
S1187,Vishal,12,61.3,69.6,54.7,56.0,239.9,50.4
S1188,Rohan,8,59.7,60.3,95.9,62.7,221.9,53.2
S1189,Harini,10,78.1,87.2,64.5,72.9,299.8,71.6
S1190,Siddharth,9,62.3,76.7,43.9,69.3,161.4,49.1
S1191,Vihaan,10,52.8,39.9,71.9,58.7,220.2,54.5
S1192,Neha,12,100.0,49.9,65.4,74.8,225.1,58.8
S1193,Rohan,8,65.6,74.4,66.1,75.2,173.9,54.6
S1194,Divya,8,61.2,80.2,96.2,69.3,328.0,64.3
S1195,Vishal,11,39.3,87.0,67.0,53.4,200.3,53.8
S1196,Vihaan,9,81.9,86.9,53.9,81.6,80.2,56.3
S1197,Akash,7,56.2,63.4,20.9,53.0,192.9,69.6
S1198,Anjali,7,70.4,71.5,56.7,64.6,242.4,51.9
S1199,Sneha,10,83.6,88.4,86.1,78.8,139.6,58.2
S1200,Kavya,11,56.4,59.5,58.2,66.5,146.7,54.6
S1201,Priya,6,71.1,71.8,15.2,47.0,170.8,51.0
S1202,Manish,10,91.3,59.1,50.0,67.8,329.9,63.9
S1203,Ishita,11,35.6,55.1,79.9,53.9,176.2,43.7
S1204,Vihaan,9,58.7,65.9,70.9,74.7,348.6,45.6
S1205,Anjali,9,57.3,52.6,43.2,54.7,164.7,33.6
S1206,Ritika,9,67.4,62.6,48.7,64.2,249.3,51.8
S1207,Harini,9,69.3,46.4,51.8,54.6,179.8,60.0
S1208,Anjali,9,55.1,61.6,46.7,58.4,287.9,46.3
S1209,Arjun,11,60.8,73.1,19.4,54.8,119.4,63.8
S1210,Divya,11,59.2,54.4,75.3,52.2,286.9,59.3
S1211,Sneha,8,65.1,65.2,85.1,74.9,230.2,60.6
S1212,Priya,7,73.1,67.5,29.6,66.4,162.4,61.4
S1213,Neha,12,82.7,73.1,84.9,85.2,205.0,71.0
S1214,Kartik,9,84.8,62.6,57.9,71.6,358.0,68.4
S1215,Krishna,6,79.2,84.5,84.5,76.4,232.4,64.4
S1216,Suresh,12,57.8,27.2,60.8,35.5,156.8,36.7
S1217,Priya,11,70.0,100.0,62.7,78.1,111.6,55.8
S1218,Vikas,6,100.0,49.3,67.4,83.1,265.5,54.9
S1219,Vihaan,6,84.2,72.3,44.2,76.6,237.6,76.5
S1220,Vihaan,6,63.8,48.1,83.9,69.0,282.6,56.0
S1221,Aditya,8,92.1,76.6,37.6,73.4,88.4,68.2
S1222,Anjali,11,64.6,70.0,52.0,69.6,114.5,58.8
S1223,Lakshmi,6,60.6,53.3,70.5,66.4,323.2,47.6
S1224,Aarav,9,89.5,84.3,49.8,75.5,249.8,63.5
S1225,Rekha,10,51.7,62.0,75.6,64.8,268.0,48.4
S1226,Vihaan,6,43.2,74.8,87.5,60.6,133.4,56.8
S1227,Akash,8,83.2,48.5,80.3,75.3,131.7,52.2
S1228,Vikas,12,70.4,64.4,21.3,48.5,309.2,34.1
S1229,Lakshmi,11,71.8,100.0,62.5,70.6,313.5,62.4
S1230,Arjun,8,64.9,82.3,80.6,80.4,122.1,69.6
S1231,Sneha,6,66.7,70.5,33.7,65.2,104.9,41.4
S1232,Suresh,11,63.6,56.9,74.5,68.1,210.2,45.1
S1233,Aryan,10,61.2,66.2,73.3,66.3,148.1,55.6
S1234,Neha,6,64.7,68.6,35.8,44.3,146.2,70.2
S1235,Sai,8,64.2,73.1,76.7,69.5,107.4,45.0
S1236,Vikas,7,58.4,45.6,65.5,59.1,177.8,36.8
S1237,Sanjay,9,62.4,77.0,73.0,66.2,116.1,57.7
S1238,Rekha,12,35.0,45.4,40.7,35.2,121.4,41.3
S1239,Aadhya,8,79.6,94.4,63.0,88.5,246.9,67.2
S1240,Rahul,11,75.5,51.1,25.9,55.4,215.0,42.3
S1241,Vivaan,6,68.8,70.3,14.5,58.4,263.6,60.5
S1242,Arjun,9,73.3,83.1,62.8,78.3,71.6,67.5
S1243,Divya,6,73.8,60.5,82.0,65.9,220.9,73.0
S1244,Lakshmi,11,59.9,71.1,65.1,65.7,406.8,63.1
S1245,Aditya,6,62.5,90.8,58.7,78.0,186.5,67.9
S1246,Siddharth,7,77.4,75.2,56.2,82.4,294.2,65.6
S1247,Aryan,9,72.9,71.4,41.1,64.8,293.4,80.5
S1248,Ishita,9,98.6,34.7,55.6,67.2,297.9,63.2
S1249,Pooja,11,92.7,48.2,68.4,74.9,235.0,62.0
S1250,Akash,12,83.1,83.8,51.3,76.8,270.9,84.0
S1251,Rohan,7,59.3,75.3,75.0,76.4,282.9,47.0
S1252,Siddharth,8,62.1,78.0,63.9,61.3,277.2,41.7
S1253,Sanjay,6,56.0,76.4,66.3,63.0,119.4,52.6
S1254,Anjali,10,73.9,88.2,77.8,72.5,66.3,62.0
S1255,Aarav,6,31.6,60.3,49.5,38.6,80.2,30.9
S1256,Rohan,6,63.6,67.2,73.2,69.3,195.7,64.0
S1257,Ishita,8,65.7,46.5,52.3,61.4,273.5,45.9
S1258,Meera,6,48.7,42.0,66.8,47.3,120.6,40.1
S1259,Sneha,7,81.2,35.4,47.1,63.6,303.2,55.8
S1260,Sanjay,7,54.1,49.1,41.8,56.2,174.8,38.8
S1261,Kavya,9,73.7,92.9,61.8,88.1,175.7,67.9
S1262,Harini,11,100.0,37.1,22.3,62.1,144.8,70.3
S1263,Ananya,12,47.4,59.5,54.1,48.9,50.4,57.9
S1264,Kavya,10,67.9,41.7,27.9,44.0,240.6,53.1
S1265,Aryan,6,64.3,54.2,75.6,57.5,374.1,34.4
S1266,Arjun,6,61.6,68.1,81.0,75.9,214.4,57.1
S1267,Ishita,8,80.6,52.4,42.7,53.6,53.4,54.8
S1268,Kavya,11,85.5,84.6,68.6,88.3,290.2,81.3
S1269,Vikas,7,80.8,92.6,78.0,78.4,73.8,68.5
S1270,Pooja,10,59.9,24.5,78.0,49.7,111.2,51.9
S1271,Anjali,9,100.0,52.7,64.3,76.0,198.5,73.3
S1272,Saanvi,7,45.2,66.1,74.7,54.6,231.1,58.0
S1273,Meera,11,55.5,85.3,47.0,67.9,129.2,50.6
S1274,Nikhil,12,72.4,56.8,61.7,75.9,195.0,60.9
S1275,Krishna,9,71.3,64.6,50.7,60.2,284.4,64.6
S1276,Ritika,12,76.8,44.2,45.3,56.6,296.7,51.9
S1277,Anjali,8,92.1,37.4,60.7,66.9,332.6,58.4
S1278,Sanjay,8,68.3,91.0,67.0,78.0,391.8,62.0
S1279,Kartik,6,71.6,32.2,83.3,61.8,292.9,47.8
S1280,Shruti,12,61.7,100.0,65.3,82.4,200.5,67.8
S1281,Nikhil,11,78.2,78.1,72.8,83.7,297.3,54.2
S1282,Suresh,10,65.5,77.2,73.1,63.8,262.0,45.7
S1283,Kavya,9,65.5,75.4,100.0,80.2,265.6,76.9
S1284,Sanjay,7,77.6,60.5,23.8,68.1,235.9,55.3
S1285,Chitra,11,84.5,72.1,46.2,68.2,137.9,65.6
S1286,Shruti,11,39.1,61.6,89.5,56.7,127.5,29.3
S1287,Vishal,8,75.1,75.0,53.0,66.3,211.3,62.1
S1288,Akash,12,66.2,64.4,77.7,65.5,233.4,50.7
S1289,Diya,6,83.3,47.9,64.6,58.0,158.9,45.1
S1290,Ananya,6,66.5,49.3,100.0,61.8,258.1,64.4
S1291,Divya,9,88.2,47.3,37.7,63.8,407.3,74.6
S1292,Arjun,8,60.5,82.5,84.4,82.2,63.0,57.3
S1293,Harini,11,38.8,53.9,95.0,53.7,272.4,49.5
S1294,Rahul,10,84.7,30.6,39.7,53.4,214.1,70.6
S1295,Nikhil,8,58.2,72.1,75.7,77.0,260.6,63.7
S1296,Neha,9,47.9,92.3,40.7,52.7,181.2,53.0
S1297,Vikas,9,70.2,78.9,60.6,60.5,206.9,60.1
S1298,Vishal,8,66.7,54.1,54.9,55.0,231.7,57.6
S1299,Vishal,9,81.5,36.4,11.9,46.6,192.9,50.0
S1300,Manish,8,82.5,62.6,68.5,62.5,83.2,57.2
S1301,Anjali,7,71.3,62.1,62.9,65.7,198.9,61.2
S1302,Aditya,8,57.6,47.6,89.6,68.3,92.5,45.0
S1303,Aadhya,12,74.0,74.9,72.2,66.1,278.8,59.1
S1304,Shruti,8,72.3,98.2,100.0,87.5,52.1,66.4
S1305,Sai,9,78.0,69.0,62.1,73.7,312.6,74.4
S1306,Rekha,12,57.8,67.9,57.9,60.3,258.7,43.6
S1307,Aarav,9,64.4,48.1,56.3,58.6,259.0,58.0
S1308,Kartik,6,77.1,90.2,51.2,75.7,25.2,70.1
S1309,Aarav,6,87.5,63.6,15.8,57.5,190.4,68.4
S1310,Aditya,12,83.5,54.6,55.6,76.8,323.8,59.8
S1311,Rahul,7,71.1,66.1,18.6,64.0,173.3,43.7
S1312,Arjun,6,63.2,73.5,69.0,74.9,123.0,61.5
S1313,Arjun,8,75.7,67.5,35.2,69.2,162.7,61.9
S1314,Aditya,9,54.7,86.7,42.1,51.7,213.9,59.4
S1315,Diya,6,58.6,71.9,46.6,65.1,143.4,47.3
S1316,Meera,6,91.1,59.9,55.9,76.9,331.0,76.3
S1317,Rohan,7,75.6,72.2,60.1,61.5,214.2,68.5
S1318,Ananya,12,65.1,74.0,81.7,70.6,170.0,56.9
S1319,Aryan,12,81.6,41.7,48.4,63.0,102.9,59.7
S1320,Rahul,11,88.0,85.7,69.6,92.7,263.6,78.7
S1321,Rahul,7,63.8,59.6,100.0,75.9,261.5,51.2
S1322,Chitra,8,64.0,60.0,67.5,58.5,148.7,56.0
S1323,Kavya,12,62.3,78.5,56.4,75.8,18.7,68.9
S1324,Siddharth,9,83.5,78.4,44.4,72.5,257.0,67.7
S1325,Gopal,7,83.6,52.4,56.1,65.8,203.2,49.5
S1326,Ritika,6,89.4,79.5,42.3,72.7,250.2,64.5
S1327,Suresh,9,84.1,54.9,65.4,60.9,396.1,49.5
S1328,Siddharth,9,47.1,97.8,62.1,65.4,217.6,63.8
S1329,Neha,6,73.9,50.1,16.8,55.5,173.8,60.0
S1330,Divya,7,55.2,69.3,59.6,58.2,116.7,45.0
S1331,Nikhil,6,62.8,50.9,81.5,66.4,191.9,41.2
S1332,Ananya,11,72.4,100.0,52.0,70.4,234.5,58.8
S1333,Divya,9,81.7,42.7,46.9,60.5,224.8,52.8
S1334,Akash,10,57.5,74.4,32.4,58.2,375.1,55.9
S1335,Nikhil,10,37.5,51.8,22.8,39.2,264.9,37.6
S1336,Kavya,8,72.5,58.6,76.6,59.7,207.9,66.9
S1337,Lakshmi,12,100.0,73.2,56.4,78.4,156.4,67.6
S1338,Chitra,6,67.2,87.0,75.4,85.3,244.0,53.2
S1339,Nikhil,6,70.7,94.2,90.6,79.8,138.4,55.4
S1340,Arjun,8,95.0,37.3,78.4,73.6,236.2,65.7
S1341,Kavya,8,78.3,69.8,49.2,67.9,263.9,57.3
S1342,Deepak,8,73.0,91.3,62.9,85.4,200.5,65.3
S1343,Rekha,9,76.2,34.7,47.7,64.4,163.3,50.9
S1344,Sanjay,11,73.5,70.7,45.8,70.6,23.3,66.0
S1345,Ishita,6,54.0,65.0,66.9,54.7,322.9,45.7
S1346,Divya,9,51.2,72.5,43.4,57.8,256.3,47.1
S1347,Aadhya,8,96.4,51.1,15.8,66.1,258.5,72.8
S1348,Krishna,6,72.6,39.2,42.2,50.8,79.5,44.4
S1349,Aditya,9,71.4,30.6,53.9,49.5,344.2,54.7
S1350,Neha,11,68.7,82.6,90.4,88.5,178.1,67.6
S1351,Ananya,9,80.9,84.9,50.2,72.6,194.0,67.6
S1352,Gopal,11,100.0,70.4,70.2,93.4,123.8,66.9
S1353,Nikhil,8,77.3,55.4,56.6,71.6,59.2,68.0
S1354,Krishna,11,61.8,35.8,84.5,62.1,324.2,68.8
S1355,Krishna,6,68.1,75.1,83.1,76.7,335.8,63.4
S1356,Aadhya,8,85.0,45.2,83.5,64.3,205.1,51.9
S1357,Rohan,6,61.8,52.2,25.3,51.1,158.9,48.2
S1358,Anjali,10,81.9,54.4,64.1,77.7,186.1,71.4
S1359,Deepak,7,37.5,61.4,75.2,58.2,188.5,37.0
S1360,Manish,11,66.8,51.3,67.6,63.3,112.0,51.1
S1361,Nikhil,7,78.8,65.6,72.7,83.6,193.7,68.2
S1362,Lakshmi,7,87.8,53.8,61.2,69.8,233.8,74.2
S1363,Chitra,11,58.5,77.6,45.1,57.2,311.6,60.8
S1364,Ananya,8,49.0,83.6,26.1,54.5,221.3,56.0
S1365,Aryan,10,66.3,67.0,47.1,66.3,78.1,51.1
S1366,Deepak,6,54.2,73.3,100.0,61.1,251.8,55.4
S1367,Shruti,9,67.9,100.0,50.3,74.8,197.0,58.4
S1368,Divya,6,69.9,43.9,20.8,54.7,343.3,60.7
S1369,Krishna,9,51.5,42.8,74.7,53.1,348.7,55.3
S1370,Meera,6,81.3,77.5,77.1,85.7,351.8,75.9
S1371,Anjali,11,67.8,100.0,85.7,85.8,169.5,63.5
S1372,Gopal,10,85.1,60.3,69.4,86.6,399.1,69.8
S1373,Deepak,9,44.2,96.1,76.9,63.4,251.6,66.6
S1374,Pooja,12,55.8,66.7,96.8,74.3,366.4,54.2
S1375,Aadhya,8,77.2,52.7,45.1,55.7,174.8,64.1
S1376,Pooja,6,58.8,47.2,41.1,41.2,193.1,46.8
S1377,Aarav,6,67.7,76.3,38.1,50.7,244.7,52.6
S1378,Vishal,9,70.0,48.5,54.7,63.0,233.7,44.2
S1379,Gopal,8,72.2,66.5,88.7,75.7,332.9,65.0
S1380,Kartik,8,60.5,93.5,70.6,70.0,199.1,59.8
S1381,Saanvi,11,72.1,59.5,69.8,57.1,324.8,71.9
S1382,Manish,12,59.0,88.7,23.6,54.9,285.9,48.5
S1383,Harini,11,79.4,43.1,46.1,60.2,200.8,75.0
S1384,Siddharth,11,68.4,55.4,23.3,58.0,278.9,57.8
S1385,Aditya,11,72.2,39.7,83.4,65.1,177.4,57.1
S1386,Saanvi,11,100.0,66.3,91.7,89.3,431.5,74.7
S1387,Neha,11,54.5,79.0,75.6,64.9,0.0,52.4
S1388,Rohan,10,89.4,66.4,40.3,80.7,280.6,74.4
S1389,Kartik,8,32.8,87.1,89.6,57.2,61.2,49.0
S1390,Meera,11,40.9,51.5,54.9,43.4,199.7,30.4
S1391,Krishna,8,52.6,69.1,35.7,50.4,212.3,58.8
S1392,Vishal,8,53.5,55.5,40.7,54.2,355.7,52.1
S1393,Sneha,7,72.9,71.5,51.4,60.9,157.7,62.6
S1394,Harini,10,74.1,74.1,61.0,71.6,337.7,62.5
S1395,Ritika,11,66.4,75.5,56.8,67.7,113.9,49.3
S1396,Vihaan,6,67.9,45.7,31.7,48.0,341.2,52.3
S1397,Divya,9,77.4,49.0,84.3,72.6,177.3,60.9
